optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,rnn_type,num_layers,use_bidirectional,use_dropout,use_batch_norm,use_layer_norm,aggregation_method,hidden_size,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,14,0.11,74.58,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,15,0.11,73.83,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,16,0.11,73.26,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,17,0.11,72.89,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,18,0.11,72.8,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,19,0.11,74.02,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,20,0.11,72.42,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,random,100,glove.6B.100d.txt,21,0.11,73.55,74.02
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,1,0.61,50.66,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,2,0.46,68.76,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,3,0.32,76.74,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,4,0.17,77.39,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,5,0.14,77.3,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,6,0.12,75.98,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,7,0.11,76.17,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,8,0.1,76.27,78.05
