optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,num_filters,filter_sizes,dropout_rate,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,7,0.19,76.92,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,8,0.19,77.3,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,9,0.19,77.11,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,10,0.19,77.11,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,11,0.19,76.83,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,12,0.19,77.11,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,13,0.19,77.11,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,1,0.64,71.67,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,2,0.5,74.67,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,3,0.39,74.48,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,4,0.27,74.48,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,5,0.23,74.11,75.52
